X-coord,Y-coord,field_id,year,10,12,15,18,19,21,24,total_yield,simulated,,,,Sow_Y,Sow_M,Sow_D
51.98216122,12.88735672,144,2017,,,,,,,,4500,4035.1,,,,,,
53.02665816,8.515850316,474,2018,,,,,,,,6500,4916.3,,,,,,
52.97461601,8.498544521,475,2019,,,,,,,,6900,4871.6,,,,,,
52.97461601,8.498544521,475,2016,,,,,,,,7050,5943.2,,,,,,
51.95598727,10.64631926,488,2020,,,,,,,,8600,1812.4,,,,,,
51.9595686,10.64113388,489,2020,,,,,,,,8200,6629.2,,,,,,
52.32637491,8.163072229,499,2017,,,,,,,,3300,1691.5,,,,,,
50.84196983,6.706671393,506,2018,,,,,,,,11000,3702.7,,,,,,
50.84196983,6.706671393,506,2016,,,,,,,,9460,4422.8,,,,,,
50.84458248,6.69756041,507,2019,,,,,,,,9600,5138.2,,,,,,
50.83172963,6.714371892,508,2020,,,,,,,,9200,5834.6,,,,,,
50.83172963,6.714371892,508,2017,,,,,,,,9600,7652.5,,,,,,
52.30662191,7.327622688,572,2016,,,,,,,,9240,5531.1,,,,,,
