exp_ID,value,sim,use it
56,285.1399536,,y
56,93.08786774,,y
56,150.5129852,,y
56,164.5129852,,y
56,208.2400513,,y
57,293.2139587,,y
57,95.02085876,,y
57,140.9540405,,y
57,154.9540405,,y
57,193.5072479,,y
58,284.3422546,,y
58,93.73259735,,y
58,151.4536743,,y
58,165.4536743,,y
58,208.1751099,,y
59,285.7141724,,y
59,89.84557343,,y
59,147.476181,,y
59,161.476181,,y
59,205.9788818,,y
60,285.7141724,,y
60,89.84557343,,y
60,147.476181,,y
60,161.476181,,y
60,205.9788818,,y
61,293.2583923,,y
61,95.35247803,,y
61,140.804306,,y
61,154.804306,,y
61,192.9976654,,y
62,282.7016907,,y
62,93.00399017,,y
62,153.3834381,,y
62,167.3834381,,y
62,207.9081268,,y
63,293.1924438,,y
63,95.02996063,,y
63,140.8835907,,y
63,154.8835907,,y
63,193.6967773,,y
64,283.7006226,,y
64,92.93330383,,y
64,152.166214,,y
64,166.166214,,y
64,208.0916748,,y
65,293.1236267,,y
65,95.6230011,,y
65,140.9549561,,y
65,154.9549561,,y
65,193.4791718,,y
66,284.6229248,,y
66,92.8637619,,y
66,151.0779572,,y
66,165.0779572,,y
66,207.8109283,,y
67,285.9486694,,y
67,89.54592133,,y
67,146.9797211,,y
67,160.9797211,,y
67,206.9873199,,y
68,293.3381653,,y
68,94.83721924,,y
68,140.9066925,,y
68,154.9066925,,y
68,194.2369995,,y
69,285.9641724,,y
69,89.66262054,,y
69,147.4315186,,y
69,161.4315186,,y
69,206.6714478,,y
70,318.8357544,,y
70,114.8410645,,y
70,147.7670898,,y
70,161.7670898,,y
70,212.8080597,,y
71,313.230835,,y
71,106.2338257,,y
71,152.5490417,,y
71,166.5490417,,y
71,208.0718842,,y
72,311.5664673,,y
72,106.7803116,,y
72,149.1075745,,y
72,163.1075745,,y
72,220.4677582,,y
73,293.2021484,,y
73,95.67870331,,y
73,148.9519653,,y
73,162.9519653,,y
73,206.4923706,,y
74,293.2021484,,y
74,95.67870331,,y
74,148.9519653,,y
74,162.9519653,,y
74,206.4923706,,y
75,300.4219055,,y
75,87.56716156,,y
75,141.5178833,,y
75,155.5178833,,y
75,212.0364685,,y
76,303.6846619,,y
76,86.54816437,,y
76,136.4962006,,y
76,150.4962006,,y
76,194.4109802,,y
77,305.0038147,,y
77,88.16996002,,y
77,147.3861847,,y
77,161.3861847,,y
77,208.9453583,,y
78,305.6757202,,y
78,77.47154999,,y
78,144.8161469,,y
78,158.8161469,,y
78,205.1932983,,y
79,305.7874451,,y
79,80.27560425,,y
79,128.6438904,,y
79,142.6438904,,y
79,195.1690063,,y
80,307.8168945,,y
80,91.13424683,,y
80,143.6835327,,y
80,157.6835327,,y
80,195.4357147,,y
81,291.5461121,,y
81,80.35489655,,y
81,128.8288574,,y
81,142.8288574,,y
81,209.3849182,,y
